hash,method,block,age,sender,direction,reciever,eth_value,eth_fee
0xd5e376306f62ab834c64f7da6cba337d1ac410a04d04df4cdc69b7ed8e5e2758,Set Approval For...,13388588,16 days 15 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, 0xd7b397edad16ca8111ca4a3b832d0a5e3ae2438c,0.0,0.00211965
0x439a3c0295148294b9a3c457a62e1c946b9efdf7e64ac14661c1641223430479,Safe Transfer Fr...,13381347,17 days 18 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea: OPENSTORE Token,0.0,0.00704058
0xa63986a8d8d16c5f40e9c47af19c26e2393560b0065cdb8e5f8a4510d0a8a1da,Transfer From,13381064,17 days 20 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, 0x6e9da81ce622fb65abf6a8d8040e460ff2543add,0.0,0.00718361
0xef2f58ac1e55d82d04e0b6f5471d8e5f75582a6b60196d78b0c52a07f883fc63,Atomic Match_,13374866,18 days 19 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.15,0.02278687
0x97741290450e9f07eca30a24f5a4ba7634e1cd765264798a1e06430d233e0cc8,Transfer,13367534,19 days 22 hrs ago,Coinbase 3, IN ,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,0.22857608,0.00337944
0xd602e395cd6610929cb6874d76938efe053c87d8d06cdc6209bc04c7a6bdd1ee,Atomic Match_,13356849,21 days 14 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.15,0.02293564
0x62c141233fda940d75a8e802e1f215fdc11f31da1b24f17ce2424ee01417421a,Atomic Match_,13354562,21 days 23 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.17,0.02183301
0x0612c8a2074d9dabeb885c60b23f71e5884416af3164051424804f860e1c85fe,Set Approval For...,13350591,22 days 14 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, 0x1f0f72e6dc2ea6fde3a32a1b3fd47a26a3293dc9,0.0,0.00305296
0x28053624afb04f9566559c859883bf65303f31afb3a24439c52bc4ce05d9e956,Atomic Match_,13350588,22 days 14 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.125,0.01609996
 0x0bc8b1ed705d7bdde60bdb7b174432a0bbb103710596da74bb83d1b408d0b1f2,Atomic Match_,13350565,22 days 14 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0777,0.00365211
0x8dbd2258842068d0ddbee8470a3d07939c575ccd83feb3e11817aff2ebabd6aa,Atomic Match_,13348113,22 days 23 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.07,0.00916037
0x5878c958c782ef0ef59505142fbd3e9027bffa904b07dfe1f4c2b4191b578f8a,Cancel Order_,13344211,23 days 14 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.0041048
0xd9c5719bbf4dc3b5879fc11b91dff8a60d10d09077044efb93ec155065bef3ed,Cancel Order_,13343732,23 days 16 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00309338
0xb9fe0d79e6325eb1af6386eb582e67bf994b2814acc41cdebd40e007d691ef75,Set Approval For...,13342920,23 days 19 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, 0x6e9da81ce622fb65abf6a8d8040e460ff2543add,0.0,0.00307593
0x5f295e37eb18f4aa7afca8adef87dccd5e99fe3d64930115ec35f987f2308591,Mint,13342882,23 days 19 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, 0x6e9da81ce622fb65abf6a8d8040e460ff2543add,0.0,0.01878078
0xb0b2a920fa9802a61eaf2279dad3148b5748a969831d4d1e8701014d0080b107,Set Approval For...,13342854,23 days 19 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, Gutter Passes: GPASS Token,0.0,0.00344138
0xee097710fb0c6f898e4b2557a2a9992ab4227648d28ab62766b3b8e03ca60507,Atomic Match_,13330227,25 days 18 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.029,0.01596042
0xdf8092c5ee4f38c23fb4904127debca9e694aaacec2a63064ddf21e20715241b,Atomic Match_,13324322,26 days 17 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0595,0.01373416
0x1ed50d0a828fdbf3aa4c4d70c11bea0e7487b2f2138e4d598e42d3de71d78a4e,Set Approval For...,13323135,26 days 21 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, Gutter Passes: GPASS Token,0.0,0.00371882
0xec58833d81829182d06c78a952dec5005e252ee228cd5eef107311ed7a809821,Deposit Ether Fo...,13322574,26 days 23 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, Polygon (Matic): Bridge,0.04,0.00590016
0x45a2d4c9a616b6e291bab6fa40d45aedd7d76dc6779434288178d21d1f7b033d,Set Approval For...,13317979,27 days 16 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, Lazy Lions Bungalows: BUNGALOW Token,0.0,0.00280054
0xc50136776d1e109c70318b59b2118ef9baebad1d297c13f6ee2be4940e156cc8,Atomic Match_,13317931,27 days 17 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,2.0,0.01568443
0x666774cc78498db5db7bfaa299ff1fcb9dc8ca5085db1e07fb0455c9467dccb8,Atomic Match_,13316987,27 days 20 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.039,0.0112363
0x882f7a43fe9c294a9b462d0c3ebc8f3a6425e296cb743ab165fce6bcb7545157,Atomic Match_,13311651,28 days 16 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.125,0.0160521
 0x7d52999ba1334f771c7a111f2a781c01d823eb91980a38497d79e08be45013f4,Atomic Match_,13311632,28 days 16 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.155,0.00876524
0x8b140856a617880e0bc5241ee6dcde21cd81dc5ce5b3185a73e1dae89b07cdc7,Atomic Match_,13481211,2 days 2 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.197,0.01509782
0x55e8fb555e8a81b6f8a8ee468d4517dcc180cf318686519ef3ca8a01a610b852,Transfer,13481117,2 days 3 hrs ago,Coinbase 4, IN ,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,0.23593857,0.00181657
0xd9dbd61601d0374d5ec36ab5548cfedb52f24c5947a398c4fb4ddbd9f6ba12dd,Cancel Order_,13477864,2 days 15 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00477797
0x1b407a937b8e54351ac5eeb9dc21a0223fc9fba4be2f6ded9a58155cd9db2ff9,Cancel Order_,13477853,2 days 15 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00457057
0xee2bb3dc8371fab4c276a8579fe49f2faee343ce77c36d1d45f18302cf4cccbe,Cancel Order_,13463947,4 days 19 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00510703
0xe9582215defe34b47d5bf486dc360c2586b913e3709a09dd3527a74c441fc70a,Cancel Order_,13463944,4 days 19 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00426265
0x8f52e49722f6aa98cf564dd1f9442652191a4dd9812ec147cfea3f3c9b136f47,Set Approval For...,13456515,5 days 23 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, 0xea3171718dc324d8258dcdb92268cb62649bd0c1,0.0,0.00547043
0x2d7ef57f3e6ec7998704f0cbe74b3c212ce91acf16e7fceec66c722dd83f7ea4,Atomic Match_,13456479,5 days 23 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.06,0.02051304
0xb55b95330603e8669bcc96f90f143ae07c5bb7c3509486fc77103f5e07a0c549,Transfer,13456372,6 days 10 mins ago,Coinbase 4, IN ,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,0.07016256,0.0019849
0x29242d4714c2f15f526bd4455b0109f56b1954423ef36db6707b1191388486df,Cancel Order_,13451882,6 days 17 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00438681
0x92c8704dfb0fc48d8dc14daed9aa682aade46ef9ec0348231facee1ad36af771,Cancel Order_,13451758,6 days 17 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00424975
0xb7aba2e58ef0982f47d8a01281a71a7b804aac0d1a064c791e542ba0e121ebeb,Cancel Order_,13451738,6 days 17 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00446132
0x9a1cd49dd328c2971f8f2c9cf3416a4a3411de841d38ba310f1aa87914c25f05,Cancel Order_,13451680,6 days 17 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00510165
0xe6161ee9b6436a623e8d672702cb9410743cfc2221b424ed3dc1c03f33b2439c,Cancel Order_,13451669,6 days 17 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00452165
0xda685a976171d008d97922280c2936854246c349389cfdcccafe081955f86b33,Cancel Order_,13451483,6 days 18 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00402791
0xb098bbbb4ac2963a95dbae7fc265c10faa33524c27902031b54ec0db3169ba1d,Cancel Order_,13451460,6 days 18 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00493378
0xbcbeb29fd2cdb4151dac91f63db54c2358c7c6a5a38b4123cc564642835ce111,Atomic Match_,13437736,8 days 22 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.05,0.01235391
0x68113c3d4c39ecd174fdcf84b65ea58f8fd098ead91cc56c84d31ccc7c575da6,Atomic Match_,13436165,9 days 3 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.1,0.0168144
0xacb89c7f2a6e72826703f2aaad8cae2e30abd88d8b51bca32b944786a452ca87,Transfer,13436119,9 days 4 hrs ago,Coinbase 6, IN ,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,0.15143552,0.00201386
0x3b115068f8ffd60a3266e84c84fdb9f84e5093fe18f42198c2dc0e5e8a3bdf0f,Transfer From,13431829,9 days 20 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, 0x80a4b80c653112b789517eb28ac111519b608b19,0.0,0.00574197
0xeac3e974216cae64eacbbdc94b8736412a0d42e3b2e0c883e3d8bba4b858f89d,Cancel Order_,13426697,10 days 15 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00550956
0x2c73f0a5c94e7eaa8eb0d38718e1449772a1ae9ab91b275013e5a25cb4fec9da,Cancel Order_,13426552,10 days 16 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.0055105
0x48003b18a60da7ce418226790de1f71c9b3e998ad23a66c8c820db9dd6e43d34,Atomic Match_,13392219,16 days 1 hr ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.08,0.01712958
0xf267ea7b9a0807fdb7e73cea4a2a910409faa0ef46946808471cf7214572566b,Transfer,13392188,16 days 2 hrs ago,Coinbase 5, IN ,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,0.06965092,0.00193133
0xbe78fdcb0b09d77a5a22207e80cabdd380094bca1851b6cbdfa67efee5c22317,Cancel Order_,13388628,16 days 15 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00335013
0xd5e376306f62ab834c64f7da6cba337d1ac410a04d04df4cdc69b7ed8e5e2758,Set Approval For...,13388588,16 days 15 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, 0xd7b397edad16ca8111ca4a3b832d0a5e3ae2438c,0.0,0.00211965
0x439a3c0295148294b9a3c457a62e1c946b9efdf7e64ac14661c1641223430479,Safe Transfer Fr...,13381347,17 days 18 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea: OPENSTORE Token,0.0,0.00704058
0xa63986a8d8d16c5f40e9c47af19c26e2393560b0065cdb8e5f8a4510d0a8a1da,Transfer From,13381064,17 days 20 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, 0x6e9da81ce622fb65abf6a8d8040e460ff2543add,0.0,0.00718361
0xef2f58ac1e55d82d04e0b6f5471d8e5f75582a6b60196d78b0c52a07f883fc63,Atomic Match_,13374866,18 days 19 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.15,0.02278687
0x97741290450e9f07eca30a24f5a4ba7634e1cd765264798a1e06430d233e0cc8,Transfer,13367534,19 days 22 hrs ago,Coinbase 3, IN ,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,0.22857608,0.00337944
0xd602e395cd6610929cb6874d76938efe053c87d8d06cdc6209bc04c7a6bdd1ee,Atomic Match_,13356849,21 days 14 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.15,0.02293564
0x62c141233fda940d75a8e802e1f215fdc11f31da1b24f17ce2424ee01417421a,Atomic Match_,13354562,21 days 23 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.17,0.02183301
0x0612c8a2074d9dabeb885c60b23f71e5884416af3164051424804f860e1c85fe,Set Approval For...,13350591,22 days 14 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, 0x1f0f72e6dc2ea6fde3a32a1b3fd47a26a3293dc9,0.0,0.00305296
0x28053624afb04f9566559c859883bf65303f31afb3a24439c52bc4ce05d9e956,Atomic Match_,13350588,22 days 14 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.125,0.01609996
 0x0bc8b1ed705d7bdde60bdb7b174432a0bbb103710596da74bb83d1b408d0b1f2,Atomic Match_,13350565,22 days 14 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0777,0.00365211
0x8dbd2258842068d0ddbee8470a3d07939c575ccd83feb3e11817aff2ebabd6aa,Atomic Match_,13348113,22 days 23 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.07,0.00916037
0x5878c958c782ef0ef59505142fbd3e9027bffa904b07dfe1f4c2b4191b578f8a,Cancel Order_,13344211,23 days 14 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.0041048
0xd9c5719bbf4dc3b5879fc11b91dff8a60d10d09077044efb93ec155065bef3ed,Cancel Order_,13343732,23 days 16 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00309338
0xb9fe0d79e6325eb1af6386eb582e67bf994b2814acc41cdebd40e007d691ef75,Set Approval For...,13342920,23 days 19 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, 0x6e9da81ce622fb65abf6a8d8040e460ff2543add,0.0,0.00307593
0x5f295e37eb18f4aa7afca8adef87dccd5e99fe3d64930115ec35f987f2308591,Mint,13342882,23 days 19 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, 0x6e9da81ce622fb65abf6a8d8040e460ff2543add,0.0,0.01878078
0xb0b2a920fa9802a61eaf2279dad3148b5748a969831d4d1e8701014d0080b107,Set Approval For...,13342854,23 days 19 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, Gutter Passes: GPASS Token,0.0,0.00344138
0xee097710fb0c6f898e4b2557a2a9992ab4227648d28ab62766b3b8e03ca60507,Atomic Match_,13330227,25 days 18 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.029,0.01596042
0xdf8092c5ee4f38c23fb4904127debca9e694aaacec2a63064ddf21e20715241b,Atomic Match_,13324322,26 days 17 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0595,0.01373416
0x1ed50d0a828fdbf3aa4c4d70c11bea0e7487b2f2138e4d598e42d3de71d78a4e,Set Approval For...,13323135,26 days 21 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, Gutter Passes: GPASS Token,0.0,0.00371882
0xec58833d81829182d06c78a952dec5005e252ee228cd5eef107311ed7a809821,Deposit Ether Fo...,13322574,26 days 23 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, Polygon (Matic): Bridge,0.04,0.00590016
0x45a2d4c9a616b6e291bab6fa40d45aedd7d76dc6779434288178d21d1f7b033d,Set Approval For...,13317979,27 days 16 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, Lazy Lions Bungalows: BUNGALOW Token,0.0,0.00280054
0xc50136776d1e109c70318b59b2118ef9baebad1d297c13f6ee2be4940e156cc8,Atomic Match_,13317931,27 days 17 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,2.0,0.01568443
0x666774cc78498db5db7bfaa299ff1fcb9dc8ca5085db1e07fb0455c9467dccb8,Atomic Match_,13316987,27 days 20 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.039,0.0112363
0x882f7a43fe9c294a9b462d0c3ebc8f3a6425e296cb743ab165fce6bcb7545157,Atomic Match_,13311651,28 days 16 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.125,0.0160521
 0x7d52999ba1334f771c7a111f2a781c01d823eb91980a38497d79e08be45013f4,Atomic Match_,13311632,28 days 16 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.155,0.00876524
0xb75752d6583de1c8afae5dc54567bad0029d3b83304134e3a40581c33fd71277,Atomic Match_,13309935,28 days 22 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.15,0.01710169
0xbcba1ba857a2542a025fe0fb1484f2e683cc43cb062b419d88a5cda9610dc41b,Cancel Order_,13308396,29 days 4 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00520764
0xe8b32e88e6106e6a138b6009cd1bcb6f7d3ac425ff115b3ed34652ebcfdc527c,Cancel Order_,13308396,29 days 4 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00520684
0xa22e2d6e288554c058d8558106e0010040a1edc396f87d162a61f65f853566be,Cancel Order_,13308396,29 days 4 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00519661
0x25d326529251ba8cb15d6fc9057bd0f6fa0ce9c8dd5801ef06b440433c9b5343,Atomic Match_,13306075,29 days 13 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.07,0.01020071
0x8518036c6dba219933087ef76f5b8e38963b39b59df9d1f92437629c8555dba9,Cancel Order_,13304865,29 days 18 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00352003
0xf79a83cc54defc30aa82008d62ae298446abc1846b8e7db6d9590be3c3ce1135,Cancel Order_,13304865,29 days 18 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00352003
0x7494fdc1da9f625f839cc59621cc1b1d542a335154d6cb0674369d75f5c0196c,Cancel Order_,13302883,30 days 1 hr ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00340014
0x2637b458dc82dc2c82dda9df4746ab5a0d966254318585b0dad760bc752d9d80,Cancel Order_,13302851,30 days 1 hr ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00289888
0x03649ddc06786d429b7fd8119664fccf80210da0e97d2eba5db33d3e8ff80abc,Transfer,13299396,30 days 14 hrs ago,Coinbase 3, IN ,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,0.02784217,0.0009756
